start	end	rel_type
10	1	written_in
11	1	written_in
12	1	written_in
13	1	written_in
14	1	written_in
15	1	written_in
16	1	written_in
17	1	written_in
18	1	written_in
19	1	written_in
20	1	written_in
21	1	written_in
22	1	written_in
23	1	written_in
24	1	written_in
25	1	written_in
26	1	written_in
27	1	written_in
28	1	written_in
29	1	written_in
30	1	written_in
31	1	written_in
32	1	written_in
33	1	written_in
34	1	written_in
35	1	written_in
36	1	written_in
37	1	written_in
38	1	written_in
39	1	written_in
40	1	written_in
41	2	written_in
42	2	written_in
43	2	written_in
44	2	written_in
45	2	written_in
46	2	written_in
47	2	written_in
48	2	written_in
49	2	written_in
50	2	written_in
51	2	written_in
52	2	written_in
53	2	written_in
54	2	written_in
55	2	written_in
56	2	written_in
57	2	written_in
58	2	written_in
59	2	written_in
60	2	written_in
61	2	written_in
62	2	written_in
63	2	written_in
64	2	written_in
65	2	written_in
66	2	written_in
67	2	written_in
68	2	written_in
69	2	written_in
70	2	written_in
71	2	written_in
72	2	written_in
73	3	written_in
74	3	written_in
75	3	written_in
76	3	written_in
77	3	written_in
78	3	written_in
79	3	written_in
80	3	written_in
81	3	written_in
82	3	written_in
83	3	written_in
84	3	written_in
85	3	written_in
86	3	written_in
87	3	written_in
88	3	written_in
89	3	written_in
90	3	written_in
91	3	written_in
92	3	written_in
93	3	written_in
94	3	written_in
95	3	written_in
96	3	written_in
97	3	written_in
98	3	written_in
99	3	written_in
100	3	written_in
101	3	written_in
102	3	written_in
103	3	written_in
104	3	written_in
105	3	written_in
106	3	written_in
107	3	written_in
108	3	written_in
109	3	written_in
110	4	written_in
111	4	written_in
112	4	written_in
113	4	written_in
114	4	written_in
115	4	written_in
116	4	written_in
117	4	written_in
118	4	written_in
119	4	written_in
120	4	written_in
121	4	written_in
122	4	written_in
123	4	written_in
124	4	written_in
125	4	written_in
126	4	written_in
127	4	written_in
128	4	written_in
129	4	written_in
130	4	written_in
131	4	written_in
132	4	written_in
133	4	written_in
134	4	written_in
135	4	written_in
136	4	written_in
137	4	written_in
138	4	written_in
139	4	written_in
140	4	written_in
141	4	written_in
142	4	written_in
143	4	written_in
144	4	written_in
145	4	written_in
146	4	written_in
147	4	written_in
148	4	written_in
149	4	written_in
150	4	written_in
151	4	written_in
152	4	written_in
153	4	written_in
154	4	written_in
155	4	written_in
156	4	written_in
157	4	written_in
158	4	written_in
159	5	written_in
160	5	written_in
161	5	written_in
162	5	written_in
163	5	written_in
164	5	written_in
165	5	written_in
166	5	written_in
167	5	written_in
168	5	written_in
169	5	written_in
170	5	written_in
171	5	written_in
172	5	written_in
173	5	written_in
174	5	written_in
175	5	written_in
176	5	written_in
177	5	written_in
178	5	written_in
179	5	written_in
180	5	written_in
181	5	written_in
182	5	written_in
183	6	written_in
184	6	written_in
185	6	written_in
186	6	written_in
187	6	written_in
188	6	written_in
189	6	written_in
190	6	written_in
191	6	written_in
192	6	written_in
193	6	written_in
194	6	written_in
195	6	written_in
196	6	written_in
197	6	written_in
198	6	written_in
199	6	written_in
200	6	written_in
201	6	written_in
202	6	written_in
203	6	written_in
204	6	written_in
205	7	written_in
206	7	written_in
207	7	written_in
208	7	written_in
209	7	written_in
210	7	written_in
211	7	written_in
212	7	written_in
213	7	written_in
214	7	written_in
215	7	written_in
216	7	written_in
217	7	written_in
218	7	written_in
219	7	written_in
220	7	written_in
221	7	written_in
222	7	written_in
223	7	written_in
224	7	written_in
225	7	written_in
226	7	written_in
227	7	written_in
228	7	written_in
229	7	written_in
230	7	written_in
231	7	written_in
232	7	written_in
233	7	written_in
234	7	written_in
235	7	written_in
236	7	written_in
237	7	written_in
238	7	written_in
239	7	written_in
240	7	written_in
241	7	written_in
242	7	written_in
243	7	written_in
244	7	written_in
245	7	written_in
246	7	written_in
247	8	written_in
248	8	written_in
249	8	written_in
250	8	written_in
251	8	written_in
252	8	written_in
253	8	written_in
254	8	written_in
255	8	written_in
256	8	written_in
257	8	written_in
258	8	written_in
259	8	written_in
260	9	written_in
261	9	written_in
262	9	written_in
263	9	written_in
264	9	written_in
270	51	wrote
271	167	wrote
273	151	wrote
274	264	wrote
279	158	wrote
288	215	wrote
291	238	wrote
292	10	wrote
292	12	wrote
292	22	wrote
295	165	wrote
296	213	wrote
297	181	wrote
298	115	wrote
299	105	wrote
301	251	wrote
302	14	wrote
303	200	wrote
307	150	wrote
308	133	wrote
309	254	wrote
311	131	wrote
312	154	wrote
315	92	wrote
318	113	wrote
318	114	wrote
318	118	wrote
318	120	wrote
318	122	wrote
320	43	wrote
320	67	wrote
321	147	wrote
324	171	wrote
324	172	wrote
325	188	wrote
327	186	wrote
327	189	wrote
328	116	wrote
333	23	wrote
334	38	wrote
334	39	wrote
335	37	wrote
337	127	wrote
341	130	wrote
344	185	wrote
350	27	wrote
354	153	wrote
356	258	wrote
358	42	wrote
358	44	wrote
358	45	wrote
358	50	wrote
358	53	wrote
358	55	wrote
358	56	wrote
358	57	wrote
358	58	wrote
358	59	wrote
358	60	wrote
358	62	wrote
358	63	wrote
358	65	wrote
358	66	wrote
358	68	wrote
358	69	wrote
358	70	wrote
358	71	wrote
358	72	wrote
360	206	wrote
361	157	wrote
367	101	wrote
373	93	wrote
380	20	wrote
381	204	wrote
384	74	wrote
385	255	wrote
385	256	wrote
386	191	wrote
387	262	wrote
388	168	wrote
390	31	wrote
390	34	wrote
390	35	wrote
394	47	wrote
394	48	wrote
394	54	wrote
394	61	wrote
397	121	wrote
398	225	wrote
398	226	wrote
398	229	wrote
398	239	wrote
398	240	wrote
398	242	wrote
398	243	wrote
401	64	wrote
403	249	wrote
407	202	wrote
409	132	wrote
412	217	wrote
412	220	wrote
412	221	wrote
412	227	wrote
412	228	wrote
413	180	wrote
415	195	wrote
418	102	wrote
419	193	wrote
421	95	wrote
423	175	wrote
424	29	wrote
428	136	wrote
430	222	wrote
431	237	wrote
432	17	wrote
432	28	wrote
433	138	wrote
434	73	wrote
434	90	wrote
435	201	wrote
437	199	wrote
438	30	wrote
438	33	wrote
438	36	wrote
439	16	wrote
441	187	wrote
442	41	wrote
443	155	wrote
445	112	wrote
445	125	wrote
451	137	wrote
454	135	wrote
457	144	wrote
459	148	wrote
460	250	wrote
462	198	wrote
465	11	wrote
466	192	wrote
467	194	wrote
470	129	wrote
475	143	wrote
477	82	wrote
478	166	wrote
480	139	wrote
481	203	wrote
482	223	wrote
483	119	wrote
484	19	wrote
486	164	wrote
486	169	wrote
487	145	wrote
488	257	wrote
491	13	wrote
492	76	wrote
493	15	wrote
496	140	wrote
498	128	wrote
499	162	wrote
500	24	wrote
501	46	wrote
501	49	wrote
507	261	wrote
509	253	wrote
510	218	wrote
511	263	wrote
513	40	wrote
518	94	wrote
522	248	wrote
523	252	wrote
525	230	wrote
525	234	wrote
525	241	wrote
525	244	wrote
528	247	wrote
529	190	wrote
531	89	wrote
531	96	wrote
531	97	wrote
531	99	wrote
531	100	wrote
531	103	wrote
531	104	wrote
534	259	wrote
535	124	wrote
535	126	wrote
538	208	wrote
541	184	wrote
543	79	wrote
544	152	wrote
545	25	wrote
545	26	wrote
546	83	wrote
546	84	wrote
547	235	wrote
550	182	wrote
551	88	wrote
552	183	wrote
553	91	wrote
555	176	wrote
555	177	wrote
558	260	wrote
562	107	wrote
563	146	wrote
564	212	wrote
566	207	wrote
566	209	wrote
566	210	wrote
568	161	wrote
571	77	wrote
572	156	wrote
575	111	wrote
576	174	wrote
577	21	wrote
579	163	wrote
580	32	wrote
582	178	wrote
582	179	wrote
583	106	wrote
585	75	wrote
585	78	wrote
585	80	wrote
585	81	wrote
585	85	wrote
585	86	wrote
585	87	wrote
586	173	wrote
589	205	wrote
589	211	wrote
589	214	wrote
589	216	wrote
589	224	wrote
589	231	wrote
589	232	wrote
589	233	wrote
589	236	wrote
589	245	wrote
589	246	wrote
590	18	wrote
591	141	wrote
591	149	wrote
594	110	wrote
597	160	wrote
598	134	wrote
604	196	wrote
609	52	wrote
610	159	wrote
614	123	wrote
616	98	wrote
616	108	wrote
616	109	wrote
621	197	wrote
622	142	wrote
624	219	wrote
625	170	wrote
626	117	wrote
275	10	forked
580	10	forked
519	10	forked
402	10	forked
463	10	forked
330	10	forked
600	10	forked
476	10	forked
580	12	forked
275	12	forked
472	12	forked
463	12	forked
417	12	forked
600	12	forked
283	27	forked
595	27	forked
463	29	forked
275	32	forked
489	32	forked
292	32	forked
607	32	forked
600	32	forked
316	37	forked
371	37	forked
329	37	forked
364	37	forked
573	37	forked
456	37	forked
340	37	forked
609	42	forked
286	42	forked
536	42	forked
450	42	forked
477	42	forked
406	42	forked
399	42	forked
401	42	forked
394	42	forked
320	42	forked
270	42	forked
293	42	forked
293	57	forked
320	57	forked
320	68	forked
369	76	forked
405	76	forked
367	76	forked
615	76	forked
347	77	forked
518	77	forked
399	77	forked
420	77	forked
268	77	forked
392	77	forked
474	77	forked
479	77	forked
414	77	forked
620	77	forked
426	77	forked
376	77	forked
378	77	forked
278	77	forked
530	77	forked
370	77	forked
400	77	forked
374	77	forked
368	77	forked
306	77	forked
546	77	forked
562	77	forked
616	77	forked
305	77	forked
492	77	forked
440	77	forked
362	77	forked
585	77	forked
474	82	forked
585	83	forked
369	92	forked
391	92	forked
318	110	forked
549	112	forked
355	112	forked
328	112	forked
279	112	forked
397	112	forked
318	112	forked
397	113	forked
285	114	forked
548	114	forked
397	114	forked
266	121	forked
490	153	forked
429	156	forked
533	164	forked
613	164	forked
408	164	forked
375	178	forked
625	178	forked
297	179	forked
375	181	forked
365	183	forked
619	183	forked
592	183	forked
379	183	forked
345	183	forked
304	183	forked
294	183	forked
435	183	forked
267	183	forked
618	183	forked
578	183	forked
471	183	forked
561	183	forked
349	183	forked
627	183	forked
327	183	forked
319	183	forked
541	183	forked
521	183	forked
383	183	forked
505	183	forked
372	184	forked
552	190	forked
453	196	forked
399	196	forked
473	202	forked
323	205	forked
495	208	forked
412	211	forked
323	211	forked
495	213	forked
593	225	forked
291	236	forked
431	236	forked
323	236	forked
623	236	forked
589	237	forked
427	245	forked
559	247	forked
534	247	forked
300	247	forked
447	247	forked
395	247	forked
393	247	forked
280	248	forked
455	248	forked
611	250	forked
506	250	forked
300	252	forked
300	253	forked
497	253	forked
281	253	forked
611	253	forked
269	260	forked
450	260	forked
274	260	forked
587	260	forked
331	260	forked
560	260	forked
351	260	forked
485	260	forked
574	262	forked
357	262	forked
382	262	forked
601	262	forked
617	262	forked
537	262	forked
346	262	forked
289	262	forked
353	262	forked
461	262	forked
556	262	forked
377	262	forked
389	262	forked
606	262	forked
396	262	forked
310	262	forked
539	262	forked
317	262	forked
449	262	forked
581	262	forked
352	262	forked
444	262	forked
516	262	forked
348	262	forked
332	262	forked
411	262	forked
612	262	forked
452	262	forked
524	262	forked
366	262	forked
554	262	forked
540	262	forked
284	262	forked
557	262	forked
605	262	forked
515	262	forked
526	262	forked
446	262	forked
422	262	forked
570	262	forked
542	262	forked
314	262	forked
520	262	forked
265	262	forked
565	262	forked
602	262	forked
290	262	forked
343	262	forked
517	262	forked
464	262	forked
532	262	forked
588	262	forked
342	262	forked
569	262	forked
277	262	forked
436	262	forked
502	262	forked
584	262	forked
359	262	forked
596	262	forked
276	262	forked
313	262	forked
527	262	forked
599	262	forked
508	262	forked
425	262	forked
322	262	forked
514	262	forked
416	262	forked
363	262	forked
469	262	forked
269	264	forked
587	264	forked
485	264	forked
448	264	forked
